"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"420",2019,"Keith Mitchell","116",1,0,71.508,50,16.67,52.72,305.6,4.64,63,"2,326.333",28.36,57.06,-0.27,-0.213
"421",2016,"Kelly Kraft","T175",0,0,72.016,38,18.7,60.57,285.1,4.67,61.7,"1,312.917",28.39,56.49,-0.618,-0.509
"422",2017,"Kelly Kraft","T175",0,0,72.016,38,18.7,60.57,285.1,4.67,61.7,"1,312.917",28.39,56.49,-0.618,-0.509
"423",2018,"Kelly Kraft","T175",0,0,72.016,38,18.7,60.57,285.1,4.67,61.7,"1,312.917",28.39,56.49,-0.618,-0.509
"424",2019,"Kelly Kraft","T175",0,0,72.016,38,18.7,60.57,285.1,4.67,61.7,"1,312.917",28.39,56.49,-0.618,-0.509
"425",2016,"Kevin Chappell","T138",0,0,71.271,28,20,49.74,297.7,4.8,65.67,"1,229.500",29.11,58.38,-0.602,-0.245
"426",2017,"Kevin Chappell","T138",0,0,71.271,28,20,49.74,297.7,4.8,65.67,"1,229.500",29.11,58.38,-0.602,-0.245
"427",2018,"Kevin Chappell","T138",0,0,71.271,28,20,49.74,297.7,4.8,65.67,"1,229.500",29.11,58.38,-0.602,-0.245
"428",2019,"Kevin Chappell","T138",0,0,71.271,28,20,49.74,297.7,4.8,65.67,"1,229.500",29.11,58.38,-0.602,-0.245
"429",2016,"Kevin Kisner","78",1,0,71.6,43,22.02,70.71,286.7,4.6,66.81,"1,835.167",28.78,56.9,-0.302,0.04
"430",2017,"Kevin Kisner","78",1,0,71.6,43,22.02,70.71,286.7,4.6,66.81,"1,835.167",28.78,56.9,-0.302,0.04
"431",2018,"Kevin Kisner","78",1,0,71.6,43,22.02,70.71,286.7,4.6,66.81,"1,835.167",28.78,56.9,-0.302,0.04
"432",2019,"Kevin Kisner","78",1,0,71.6,43,22.02,70.71,286.7,4.6,66.81,"1,835.167",28.78,56.9,-0.302,0.04
"433",2016,"Kevin Na","T91",1,1,71.367,50,15.2,67.02,287.7,4.59,65.48,"1,801.667",28.62,61.64,0.07,-0.099
"434",2017,"Kevin Na","T91",1,1,71.367,50,15.2,67.02,287.7,4.59,65.48,"1,801.667",28.62,61.64,0.07,-0.099
"435",2018,"Kevin Na","T91",1,1,71.367,50,15.2,67.02,287.7,4.59,65.48,"1,801.667",28.62,61.64,0.07,-0.099
"436",2019,"Kevin Na","T91",1,1,71.367,50,15.2,67.02,287.7,4.59,65.48,"1,801.667",28.62,61.64,0.07,-0.099
"437",2016,"Kevin Stadler","208",0,0,73.894,27,16.98,55.05,283.8,4.68,59.47,"1,184.500",29.22,49.75,-1.958,-2.415
"438",2017,"Kevin Stadler","208",0,0,73.894,27,16.98,55.05,283.8,4.68,59.47,"1,184.500",29.22,49.75,-1.958,-2.415
"439",2018,"Kevin Stadler","208",0,0,73.894,27,16.98,55.05,283.8,4.68,59.47,"1,184.500",29.22,49.75,-1.958,-2.415
"440",2019,"Kevin Stadler","208",0,0,73.894,27,16.98,55.05,283.8,4.68,59.47,"1,184.500",29.22,49.75,-1.958,-2.415
"441",2016,"Kevin Streelman","51",2,0,70.523,60,24.16,64.91,294.1,4.57,69.54,"2,094.500",28.89,57,0.656,0.622
"442",2017,"Kevin Streelman","51",2,0,70.523,60,24.16,64.91,294.1,4.57,69.54,"2,094.500",28.89,57,0.656,0.622
"443",2018,"Kevin Streelman","51",2,0,70.523,60,24.16,64.91,294.1,4.57,69.54,"2,094.500",28.89,57,0.656,0.622
"444",2019,"Kevin Streelman","51",2,0,70.523,60,24.16,64.91,294.1,4.57,69.54,"2,094.500",28.89,57,0.656,0.622
"445",2016,"Kevin Tway","121",0,0,71.751,32,17.98,53.36,302.5,4.59,66.67,"1,014.750",29.28,59.38,-0.402,-0.901
"446",2017,"Kevin Tway","121",0,0,71.751,32,17.98,53.36,302.5,4.59,66.67,"1,014.750",29.28,59.38,-0.402,-0.901
"447",2018,"Kevin Tway","121",0,0,71.751,32,17.98,53.36,302.5,4.59,66.67,"1,014.750",29.28,59.38,-0.402,-0.901
"448",2019,"Kevin Tway","121",0,0,71.751,32,17.98,53.36,302.5,4.59,66.67,"1,014.750",29.28,59.38,-0.402,-0.901
"449",2016,"Kiradech Aphibarnrat","214",0,0,72.419,27,17.98,56.35,288.8,4.73,56.58,"949.083",27.93,61.14,-2.365,-2.204
"450",2017,"Kiradech Aphibarnrat","214",0,0,72.419,27,17.98,56.35,288.8,4.73,56.58,"949.083",27.93,61.14,-2.365,-2.204
"451",2018,"Kiradech Aphibarnrat","214",0,0,72.419,27,17.98,56.35,288.8,4.73,56.58,"949.083",27.93,61.14,-2.365,-2.204
"452",2019,"Kiradech Aphibarnrat","214",0,0,72.419,27,17.98,56.35,288.8,4.73,56.58,"949.083",27.93,61.14,-2.365,-2.204
"453",2016,"Kramer Hickok","T132",1,0,71.794,40,20.97,64.57,292.7,4.63,65.56,"1,488.750",29.03,56.45,-0.501,-0.695
"454",2017,"Kramer Hickok","T132",1,0,71.794,40,20.97,64.57,292.7,4.63,65.56,"1,488.750",29.03,56.45,-0.501,-0.695
"455",2018,"Kramer Hickok","T132",1,0,71.794,40,20.97,64.57,292.7,4.63,65.56,"1,488.750",29.03,56.45,-0.501,-0.695
"456",2019,"Kramer Hickok","T132",1,0,71.794,40,20.97,64.57,292.7,4.63,65.56,"1,488.750",29.03,56.45,-0.501,-0.695
"457",2016,"Kris Ventura","79",2,0,71.767,52,23.17,59.53,304.4,4.54,63.57,"1,854.000",28.4,55.13,-0.447,-0.057
